origem,destino,tipo,evidencia,status
EF01LP16,EF01LP18,relacionada,EF01LP16,confirmada na planilha
EF01LP16,EF01LP19,relacionada,EF01LP16,confirmada na planilha
EF01LP16,EF12LP04,relacionada,EF01LP16,confirmada na planilha
EF01LP16,EF01LP01,relacionada,EF01LP16,confirmada na planilha
EF01LP16,EF01LP12,relacionada,EF01LP16,confirmada na planilha
EF01LP16,EF01LP14,relacionada,EF01LP16,confirmada na planilha
EF01LP16,EF01LP19,mencao_comentario,EF01LP16,confirmada na planilha
EF01LP16,EF01LP01,mencao_comentario,EF01LP16,confirmada na planilha
EF01LP16,EF01LP12,mencao_comentario,EF01LP16,confirmada na planilha
EF01LP18,EF01LP02,relacionada,EF01LP18,confirmada na planilha
EF01LP18,EF01LP16,relacionada,EF01LP18,confirmada na planilha
EF01LP18,EF01LP19,relacionada,EF01LP18,confirmada na planilha
EF01LP18,EF01LP03,relacionada,EF01LP18,confirmada na planilha
EF01LP18,EF01LP16,mencao_comentario,EF01LP18,confirmada na planilha
EF01LP18,EF01LP19,mencao_comentario,EF01LP18,confirmada na planilha
EF01LP18,EF01LP02,mencao_comentario,EF01LP18,confirmada na planilha
EF01LP18,EF01LP03,mencao_comentario,EF01LP18,confirmada na planilha
EF12LP04,EF01LP20,pre_requisito,EF01LP20,confirmada na planilha
EF01LP20,EF01LP01,relacionada,EF01LP20,confirmada na planilha
EF01LP20,EF01LP17,relacionada,EF01LP20,confirmada na planilha
EF01LP20,EF01LP04,relacionada,EF01LP20,confirmada na planilha
EF01LP20,EF01LP09,relacionada,EF01LP20,confirmada na planilha
EF01LP20,EF01LP13,relacionada,EF01LP20,confirmada na planilha
EF01LP20,EF01LP14,relacionada,EF01LP20,confirmada na planilha
EF01LP20,EF12LP04,mencao_comentario,EF01LP20,confirmada na planilha
EF01LP17,EF01LP01,relacionada,EF01LP17,confirmada na planilha
EF01LP17,EF01LP03,relacionada,EF01LP17,confirmada na planilha
EF01LP17,EF01LP20,relacionada,EF01LP17,confirmada na planilha
EF01LP17,EF12LP10,relacionada,EF01LP17,confirmada na planilha
EF01LP17,EF12LP17,relacionada,EF01LP17,confirmada na planilha
EF01LP17,EF01LP20,mencao_comentario,EF01LP17,confirmada na planilha
EF12LP10,EF01LP21,pre_requisito,EF01LP21,confirmada na planilha
EF01LP21,EF15LP05,relacionada,EF01LP21,confirmada na planilha
EF01LP21,EF12LP06,relacionada,EF01LP21,confirmada na planilha
EF01LP21,EF12LP10,relacionada,EF01LP21,confirmada na planilha
EF01LP21,EF12LP10,mencao_comentario,EF01LP21,confirmada na planilha
EF01LP22,EF12LP17,relacionada,EF01LP22,confirmada na planilha
EF01LP22,EF01LP01,relacionada,EF01LP22,confirmada na planilha
EF01LP22,EF01LP03,relacionada,EF01LP22,confirmada na planilha
EF01LP22,EF12LP17,mencao_comentario,EF01LP22,confirmada na planilha
EF01LP23,EF01LP22,relacionada,EF01LP23,confirmada na planilha
EF01LP23,EF15LP02,relacionada,EF01LP23,confirmada na planilha
EF01LP23,EF15LP03,relacionada,EF01LP23,confirmada na planilha
EF01LP23,EF15LP04,relacionada,EF01LP23,confirmada na planilha
EF01LP23,EF01LP22,mencao_comentario,EF01LP23,confirmada na planilha
EF12LP17,EF01LP24,pre_requisito,EF01LP24,confirmada na planilha
EF01LP24,EF01LP04,relacionada,EF01LP24,confirmada na planilha
EF01LP24,EF01LP09,relacionada,EF01LP24,confirmada na planilha
EF01LP24,EF01LP13,relacionada,EF01LP24,confirmada na planilha
EF01LP24,EF01LP14,relacionada,EF01LP24,confirmada na planilha
EF01LP24,EF12LP17,mencao_comentario,EF01LP24,confirmada na planilha
EF01LP26,EF15LP18,relacionada,EF01LP26,confirmada na planilha
EF01LP26,EF15LP16,relacionada,EF01LP26,confirmada na planilha
EF01LP26,EF15LP19,relacionada,EF01LP26,confirmada na planilha
EF01LP25,EF15LP16,relacionada,EF01LP25,confirmada na planilha
EF01LP25,EF15LP19,relacionada,EF01LP25,confirmada na planilha
EF01LP25,EF12LP05,relacionada,EF01LP25,confirmada na planilha
EF01LP25,EF15LP18,relacionada,EF01LP25,confirmada na planilha
EF01LP25,EF01LP26,relacionada,EF01LP25,confirmada na planilha
EF01LP19,EF02LP15,pre_requisito,EF02LP15,confirmada na planilha
EF02LP15,EF12LP07,relacionada,EF02LP15,confirmada na planilha
EF02LP15,EF02LP12,relacionada,EF02LP15,confirmada na planilha
EF02LP15,EF02LP03,relacionada,EF02LP15,confirmada na planilha
EF02LP15,EF02LP05,relacionada,EF02LP15,confirmada na planilha
EF02LP15,EF01LP19,mencao_comentario,EF02LP15,confirmada na planilha
EF02LP15,EF02LP03,mencao_comentario,EF02LP15,confirmada na planilha
EF02LP15,EF02LP05,mencao_comentario,EF02LP15,confirmada na planilha
EF01LP16,EF02LP12,pre_requisito,EF02LP12,confirmada na planilha
EF01LP19,EF02LP12,pre_requisito,EF02LP12,confirmada na planilha
EF02LP12,EF02LP15,relacionada,EF02LP12,confirmada na planilha
EF02LP12,EF12LP04,relacionada,EF02LP12,confirmada na planilha
EF02LP12,EF12LP17,relacionada,EF02LP12,confirmada na planilha
EF02LP12,EF02LP15,mencao_comentario,EF02LP12,confirmada na planilha
EF02LP16,EF02LP13,relacionada,EF02LP16,confirmada na planilha
EF02LP16,EF02LP01,relacionada,EF02LP16,confirmada na planilha
EF02LP16,EF02LP04,relacionada,EF02LP16,confirmada na planilha
EF02LP16,EF02LP05,relacionada,EF02LP16,confirmada na planilha
EF02LP16,EF02LP08,relacionada,EF02LP16,confirmada na planilha
EF02LP16,EF02LP09,relacionada,EF02LP16,confirmada na planilha
EF02LP16,EF02LP13,mencao_comentario,EF02LP16,confirmada na planilha
EF02LP13,EF15LP05,relacionada,EF02LP13,confirmada na planilha
EF02LP13,EF15LP06,relacionada,EF02LP13,confirmada na planilha
EF02LP13,EF12LP04,relacionada,EF02LP13,confirmada na planilha
EF02LP13,EF02LP16,relacionada,EF02LP13,confirmada na planilha
EF02LP13,EF02LP01,relacionada,EF02LP13,confirmada na planilha
EF02LP13,EF02LP04,relacionada,EF02LP13,confirmada na planilha
EF02LP13,EF02LP05,relacionada,EF02LP13,confirmada na planilha
EF02LP13,EF02LP08,relacionada,EF02LP13,confirmada na planilha
EF02LP13,EF02LP09,relacionada,EF02LP13,confirmada na planilha
EF02LP13,EF02LP16,mencao_comentario,EF02LP13,confirmada na planilha
EF02LP17,EF15LP03,relacionada,EF02LP17,confirmada na planilha
EF02LP17,EF02LP14,relacionada,EF02LP17,confirmada na planilha
EF02LP14,EF15LP05,relacionada,EF02LP14,confirmada na planilha
EF02LP14,EF15LP06,relacionada,EF02LP14,confirmada na planilha
EF02LP14,EF02LP17,relacionada,EF02LP14,confirmada na planilha
EF02LP14,EF02LP01,relacionada,EF02LP14,confirmada na planilha
EF02LP14,EF02LP03,relacionada,EF02LP14,confirmada na planilha
EF02LP14,EF02LP04,relacionada,EF02LP14,confirmada na planilha
EF02LP14,EF02LP05,relacionada,EF02LP14,confirmada na planilha
EF02LP14,EF02LP08,relacionada,EF02LP14,confirmada na planilha
EF02LP14,EF02LP09,relacionada,EF02LP14,confirmada na planilha
EF02LP14,EF02LP17,mencao_comentario,EF02LP14,confirmada na planilha
EF02LP19,EF02LP21,relacionada,EF02LP19,confirmada na planilha
EF02LP19,EF15LP05,relacionada,EF02LP19,confirmada na planilha
EF02LP19,EF15LP06,relacionada,EF02LP19,confirmada na planilha
EF02LP19,EF12LP11,relacionada,EF02LP19,confirmada na planilha
EF02LP19,EF12LP14,relacionada,EF02LP19,confirmada na planilha
EF02LP19,EF02LP08,relacionada,EF02LP19,confirmada na planilha
EF02LP19,EF02LP09,relacionada,EF02LP19,confirmada na planilha
EF02LP19,EF12LP11,mencao_comentario,EF02LP19,confirmada na planilha
EF02LP19,EF12LP14,mencao_comentario,EF02LP19,confirmada na planilha
EF02LP18,EF15LP02,relacionada,EF02LP18,confirmada na planilha
EF02LP18,EF15LP04,relacionada,EF02LP18,confirmada na planilha
EF02LP18,EF15LP05,relacionada,EF02LP18,confirmada na planilha
EF02LP18,EF15LP06,relacionada,EF02LP18,confirmada na planilha
EF02LP18,EF02LP01,relacionada,EF02LP18,confirmada na planilha
EF02LP18,EF02LP03,relacionada,EF02LP18,confirmada na planilha
EF02LP18,EF02LP08,relacionada,EF02LP18,confirmada na planilha
EF02LP18,EF02LP09,relacionada,EF02LP18,confirmada na planilha
EF02LP18,EF12LP09,mencao_comentario,EF02LP18,confirmada na planilha
EF01LP24,EF02LP25,pre_requisito,EF02LP25,confirmada na planilha
EF02LP25,EF15LP02,relacionada,EF02LP25,confirmada na planilha
EF02LP25,EF15LP04,relacionada,EF02LP25,confirmada na planilha
EF02LP25,EF02LP20,relacionada,EF02LP25,confirmada na planilha
EF02LP25,EF12LP17,relacionada,EF02LP25,confirmada na planilha
EF02LP25,EF02LP23,relacionada,EF02LP25,confirmada na planilha
EF02LP25,EF02LP24,relacionada,EF02LP25,confirmada na planilha
EF02LP25,EF02LP01,relacionada,EF02LP25,confirmada na planilha
EF02LP25,EF02LP09,relacionada,EF02LP25,confirmada na planilha
EF02LP25,EF12LP17,mencao_comentario,EF02LP25,confirmada na planilha
EF02LP25,EF01LP24,mencao_comentario,EF02LP25,confirmada na planilha
EF01LP22,EF02LP24,pre_requisito,EF02LP24,confirmada na planilha
EF02LP24,EF15LP04,relacionada,EF02LP24,confirmada na planilha
EF02LP24,EF15LP05,relacionada,EF02LP24,confirmada na planilha
EF02LP24,EF15LP06,relacionada,EF02LP24,confirmada na planilha
EF02LP24,EF02LP20,relacionada,EF02LP24,confirmada na planilha
EF02LP24,EF02LP21,relacionada,EF02LP24,confirmada na planilha
EF02LP24,EF02LP22,relacionada,EF02LP24,confirmada na planilha
EF02LP24,EF02LP23,relacionada,EF02LP24,confirmada na planilha
EF02LP24,EF02LP25,relacionada,EF02LP24,confirmada na planilha
EF02LP24,EF02LP25,mencao_comentario,EF02LP24,confirmada na planilha
EF01LP22,EF02LP22,pre_requisito,EF02LP22,confirmada na planilha
EF02LP22,EF15LP04,relacionada,EF02LP22,confirmada na planilha
EF02LP22,EF15LP05,relacionada,EF02LP22,confirmada na planilha
EF02LP22,EF15LP06,relacionada,EF02LP22,confirmada na planilha
EF02LP22,EF02LP20,relacionada,EF02LP22,confirmada na planilha
EF02LP22,EF02LP23,relacionada,EF02LP22,confirmada na planilha
EF02LP22,EF02LP24,relacionada,EF02LP22,confirmada na planilha
EF01LP22,EF02LP23,pre_requisito,EF02LP23,confirmada na planilha
EF02LP23,EF02LP20,relacionada,EF02LP23,confirmada na planilha
EF02LP23,EF02LP22,relacionada,EF02LP23,confirmada na planilha
EF02LP23,EF02LP24,relacionada,EF02LP23,confirmada na planilha
EF02LP23,EF02LP25,relacionada,EF02LP23,confirmada na planilha
EF01LP25,EF02LP27,pre_requisito,EF02LP27,confirmada na planilha
EF02LP27,EF15LP05,relacionada,EF02LP27,confirmada na planilha
EF02LP27,EF15LP06,relacionada,EF02LP27,confirmada na planilha
EF02LP27,EF15LP16,relacionada,EF02LP27,confirmada na planilha
EF02LP27,EF15LP19,relacionada,EF02LP27,confirmada na planilha
EF02LP27,EF02LP28,relacionada,EF02LP27,confirmada na planilha
EF02LP27,EF02LP28,mencao_comentario,EF02LP27,confirmada na planilha
EF01LP26,EF02LP28,pre_requisito,EF02LP28,confirmada na planilha
EF02LP28,EF02LP27,relacionada,EF02LP28,confirmada na planilha
EF02LP28,EF15LP16,relacionada,EF02LP28,confirmada na planilha
EF02LP28,EF15LP19,relacionada,EF02LP28,confirmada na planilha
EF35LP05,EF15LP02,relacionada,EF35LP05,confirmada na planilha
EF35LP05,EF15LP03,relacionada,EF35LP05,confirmada na planilha
EF35LP05,EF15LP04,relacionada,EF35LP05,confirmada na planilha
EF12LP11,EF35LP16,pre_requisito,EF35LP16,confirmada na planilha
EF12LP08,EF35LP16,pre_requisito,EF35LP16,confirmada na planilha
EF02LP19,EF35LP16,pre_requisito,EF35LP16,confirmada na planilha
EF35LP16,EF04LP14,relacionada,EF35LP16,confirmada na planilha
EF35LP16,EF05LP15,relacionada,EF35LP16,confirmada na planilha
EF35LP16,EF03LP18,relacionada,EF35LP16,confirmada na planilha
EF35LP19,EF15LP10,relacionada,EF35LP19,confirmada na planilha
EF35LP19,EF15LP13,relacionada,EF35LP19,confirmada na planilha
EF35LP19,EF35LP03,relacionada,EF35LP19,confirmada na planilha
EF35LP19,EF35LP04,relacionada,EF35LP19,confirmada na planilha
EF02LP24,EF35LP20,pre_requisito,EF35LP20,confirmada na planilha
EF35LP20,EF15LP09,relacionada,EF35LP20,confirmada na planilha
EF35LP20,EF35LP19,relacionada,EF35LP20,confirmada na planilha
EF35LP20,EF35LP18,relacionada,EF35LP20,confirmada na planilha
EF35LP20,EF35LP18,mencao_comentario,EF35LP20,confirmada na planilha
EF35LP24,EF04LP27,relacionada,EF35LP24,confirmada na planilha
EF35LP24,EF03LP08,relacionada,EF35LP24,confirmada na planilha
EF35LP24,EF03LP08,mencao_comentario,EF35LP24,confirmada na planilha
EF02LP28,EF35LP26,pre_requisito,EF35LP26,confirmada na planilha
EF35LP26,EF35LP01,relacionada,EF35LP26,confirmada na planilha
EF35LP26,EF35LP03,relacionada,EF35LP26,confirmada na planilha
EF35LP26,EF35LP04,relacionada,EF35LP26,confirmada na planilha
EF35LP26,EF35LP21,relacionada,EF35LP26,confirmada na planilha
EF35LP26,EF35LP22,relacionada,EF35LP26,confirmada na planilha
EF35LP26,EF35LP30,relacionada,EF35LP26,confirmada na planilha
EF35LP26,EF35LP29,relacionada,EF35LP26,confirmada na planilha
EF02LP28,EF35LP29,pre_requisito,EF35LP29,confirmada na planilha
EF35LP29,EF35LP26,relacionada,EF35LP29,confirmada na planilha
EF35LP29,EF15LP16,relacionada,EF35LP29,confirmada na planilha
EF35LP29,EF35LP01,relacionada,EF35LP29,confirmada na planilha
EF35LP29,EF35LP03,relacionada,EF35LP29,confirmada na planilha
EF35LP29,EF35LP04,relacionada,EF35LP29,confirmada na planilha
EF35LP29,EF35LP21,relacionada,EF35LP29,confirmada na planilha
EF35LP29,EF35LP22,relacionada,EF35LP29,confirmada na planilha
EF35LP29,EF35LP30,relacionada,EF35LP29,confirmada na planilha
EF35LP29,EF35LP26,mencao_comentario,EF35LP29,confirmada na planilha
EF02LP27,EF35LP25,pre_requisito,EF35LP25,confirmada na planilha
EF02LP28,EF35LP25,pre_requisito,EF35LP25,confirmada na planilha
EF35LP25,EF35LP26,relacionada,EF35LP25,confirmada na planilha
EF35LP25,EF35LP29,relacionada,EF35LP25,confirmada na planilha
EF35LP25,EF35LP30,relacionada,EF35LP25,confirmada na planilha
EF35LP25,EF35LP08,relacionada,EF35LP25,confirmada na planilha
EF35LP25,EF35LP09,relacionada,EF35LP25,confirmada na planilha
EF35LP25,EF15LP16,relacionada,EF35LP25,confirmada na planilha
EF12LP18,EF35LP23,pre_requisito,EF35LP23,confirmada na planilha
EF35LP23,EF35LP27,relacionada,EF35LP23,confirmada na planilha
EF35LP23,EF15LP17,relacionada,EF35LP23,confirmada na planilha
EF35LP23,EF35LP31,relacionada,EF35LP23,confirmada na planilha
EF02LP15,EF35LP27,pre_requisito,EF35LP27,confirmada na planilha
EF02LP12,EF35LP27,pre_requisito,EF35LP27,confirmada na planilha
EF35LP27,EF15LP17,relacionada,EF35LP27,confirmada na planilha
EF35LP27,EF35LP23,relacionada,EF35LP27,confirmada na planilha
EF35LP27,EF35LP28,relacionada,EF35LP27,confirmada na planilha
EF35LP27,EF35LP23,mencao_comentario,EF35LP27,confirmada na planilha
EF35LP27,EF35LP28,mencao_comentario,EF35LP27,confirmada na planilha
EF15LP02,EF35LP31,pre_requisito,EF35LP31,confirmada na planilha
EF35LP31,EF35LP04,relacionada,EF35LP31,confirmada na planilha
EF35LP31,EF35LP23,relacionada,EF35LP31,confirmada na planilha
EF35LP31,EF35LP27,relacionada,EF35LP31,confirmada na planilha
EF35LP31,EF15LP02,mencao_comentario,EF35LP31,confirmada na planilha
EF35LP31,EF35LP04,mencao_comentario,EF35LP31,confirmada na planilha
EF35LP28,EF35LP23,relacionada,EF35LP28,confirmada na planilha
EF35LP28,EF35LP27,relacionada,EF35LP28,confirmada na planilha
EF35LP28,EF35LP23,mencao_comentario,EF35LP28,confirmada na planilha
EF35LP28,EF35LP27,mencao_comentario,EF35LP28,confirmada na planilha
EF12LP04,EF03LP11,pre_requisito,EF03LP11,confirmada na planilha
EF03LP11,EF35LP03,relacionada,EF03LP11,confirmada na planilha
EF03LP11,EF35LP04,relacionada,EF03LP11,confirmada na planilha
EF03LP11,EF35LP12,relacionada,EF03LP11,confirmada na planilha
EF03LP11,EF03LP01,relacionada,EF03LP11,confirmada na planilha
EF03LP11,EF03LP02,relacionada,EF03LP11,confirmada na planilha
EF03LP11,EF03LP03,relacionada,EF03LP11,confirmada na planilha
EF03LP11,EF03LP07,relacionada,EF03LP11,confirmada na planilha
EF03LP11,EF03LP08,relacionada,EF03LP11,confirmada na planilha
EF03LP11,EF03LP09,relacionada,EF03LP11,confirmada na planilha
EF03LP11,EF03LP16,relacionada,EF03LP11,confirmada na planilha
EF03LP11,EF03LP14,relacionada,EF03LP11,confirmada na planilha
EF03LP11,EF03LP16,mencao_comentario,EF03LP11,confirmada na planilha
EF03LP11,EF03LP08,mencao_comentario,EF03LP11,confirmada na planilha
EF03LP12,EF35LP03,relacionada,EF03LP12,confirmada na planilha
EF03LP12,EF35LP04,relacionada,EF03LP12,confirmada na planilha
EF03LP12,EF03LP01,relacionada,EF03LP12,confirmada na planilha
EF03LP12,EF03LP02,relacionada,EF03LP12,confirmada na planilha
EF03LP12,EF03LP03,relacionada,EF03LP12,confirmada na planilha
EF03LP12,EF03LP07,relacionada,EF03LP12,confirmada na planilha
EF03LP12,EF03LP08,relacionada,EF03LP12,confirmada na planilha
EF03LP12,EF03LP09,relacionada,EF03LP12,confirmada na planilha
EF03LP12,EF03LP17,relacionada,EF03LP12,confirmada na planilha
EF02LP13,EF03LP13,pre_requisito,EF03LP13,confirmada na planilha
EF03LP13,EF35LP07,relacionada,EF03LP13,confirmada na planilha
EF03LP13,EF35LP08,relacionada,EF03LP13,confirmada na planilha
EF03LP13,EF35LP09,relacionada,EF03LP13,confirmada na planilha
EF03LP13,EF35LP12,relacionada,EF03LP13,confirmada na planilha
EF03LP13,EF03LP12,relacionada,EF03LP13,confirmada na planilha
EF03LP13,EF03LP01,relacionada,EF03LP13,confirmada na planilha
EF03LP13,EF03LP02,relacionada,EF03LP13,confirmada na planilha
EF03LP13,EF03LP03,relacionada,EF03LP13,confirmada na planilha
EF03LP13,EF03LP04,relacionada,EF03LP13,confirmada na planilha
EF03LP13,EF03LP07,relacionada,EF03LP13,confirmada na planilha
EF03LP13,EF03LP17,relacionada,EF03LP13,confirmada na planilha
EF03LP13,EF03LP17,mencao_comentario,EF03LP13,confirmada na planilha
EF12LP06,EF03LP14,pre_requisito,EF03LP14,confirmada na planilha
EF03LP14,EF35LP07,relacionada,EF03LP14,confirmada na planilha
EF03LP14,EF35LP08,relacionada,EF03LP14,confirmada na planilha
EF03LP14,EF35LP09,relacionada,EF03LP14,confirmada na planilha
EF03LP14,EF35LP12,relacionada,EF03LP14,confirmada na planilha
EF03LP14,EF03LP01,relacionada,EF03LP14,confirmada na planilha
EF03LP14,EF03LP02,relacionada,EF03LP14,confirmada na planilha
EF03LP14,EF03LP03,relacionada,EF03LP14,confirmada na planilha
EF03LP14,EF03LP04,relacionada,EF03LP14,confirmada na planilha
EF03LP14,EF03LP07,relacionada,EF03LP14,confirmada na planilha
EF03LP14,EF03LP16,relacionada,EF03LP14,confirmada na planilha
EF12LP04,EF03LP15,pre_requisito,EF03LP15,confirmada na planilha
EF03LP15,EF15LP02,relacionada,EF03LP15,confirmada na planilha
EF03LP15,EF03LP11,relacionada,EF03LP15,confirmada na planilha
EF03LP15,EF03LP01,relacionada,EF03LP15,confirmada na planilha
EF03LP15,EF03LP02,relacionada,EF03LP15,confirmada na planilha
EF03LP15,EF03LP03,relacionada,EF03LP15,confirmada na planilha
EF03LP18,EF15LP02,relacionada,EF03LP18,confirmada na planilha
EF03LP18,EF35LP03,relacionada,EF03LP18,confirmada na planilha
EF03LP18,EF35LP04,relacionada,EF03LP18,confirmada na planilha
EF03LP18,EF03LP12,relacionada,EF03LP18,confirmada na planilha
EF03LP18,EF03LP01,relacionada,EF03LP18,confirmada na planilha
EF03LP18,EF03LP07,relacionada,EF03LP18,confirmada na planilha
EF03LP18,EF03LP08,relacionada,EF03LP18,confirmada na planilha
EF03LP18,EF03LP09,relacionada,EF03LP18,confirmada na planilha
EF03LP18,EF03LP17,relacionada,EF03LP18,confirmada na planilha
EF03LP18,EF03LP23,relacionada,EF03LP18,confirmada na planilha
EF03LP18,EF03LP23,mencao_comentario,EF03LP18,confirmada na planilha
EF03LP19,EF15LP02,relacionada,EF03LP19,confirmada na planilha
EF03LP19,EF15LP04,relacionada,EF03LP19,confirmada na planilha
EF03LP19,EF15LP18,relacionada,EF03LP19,confirmada na planilha
EF03LP19,EF03LP01,relacionada,EF03LP19,confirmada na planilha
EF03LP19,EF03LP02,relacionada,EF03LP19,confirmada na planilha
EF03LP19,EF03LP03,relacionada,EF03LP19,confirmada na planilha
EF03LP19,EF03LP04,relacionada,EF03LP19,confirmada na planilha
EF03LP20,EF35LP07,relacionada,EF03LP20,confirmada na planilha
EF03LP20,EF35LP08,relacionada,EF03LP20,confirmada na planilha
EF03LP20,EF35LP09,relacionada,EF03LP20,confirmada na planilha
EF03LP20,EF35LP15,relacionada,EF03LP20,confirmada na planilha
EF03LP20,EF03LP18,relacionada,EF03LP20,confirmada na planilha
EF03LP20,EF03LP01,relacionada,EF03LP20,confirmada na planilha
EF03LP20,EF03LP02,relacionada,EF03LP20,confirmada na planilha
EF03LP20,EF03LP03,relacionada,EF03LP20,confirmada na planilha
EF03LP20,EF03LP04,relacionada,EF03LP20,confirmada na planilha
EF03LP20,EF03LP07,relacionada,EF03LP20,confirmada na planilha
EF03LP20,EF03LP17,relacionada,EF03LP20,confirmada na planilha
EF03LP20,EF03LP23,relacionada,EF03LP20,confirmada na planilha
EF03LP20,EF03LP18,mencao_comentario,EF03LP20,confirmada na planilha
EF03LP21,EF03LP19,relacionada,EF03LP21,confirmada na planilha
EF03LP21,EF15LP04,relacionada,EF03LP21,confirmada na planilha
EF03LP21,EF15LP05,relacionada,EF03LP21,confirmada na planilha
EF03LP21,EF15LP06,relacionada,EF03LP21,confirmada na planilha
EF03LP21,EF03LP01,relacionada,EF03LP21,confirmada na planilha
EF03LP21,EF03LP02,relacionada,EF03LP21,confirmada na planilha
EF03LP21,EF03LP03,relacionada,EF03LP21,confirmada na planilha
EF03LP21,EF03LP04,relacionada,EF03LP21,confirmada na planilha
EF12LP11,EF03LP22,pre_requisito,EF03LP22,confirmada na planilha
EF03LP22,EF15LP05,relacionada,EF03LP22,confirmada na planilha
